time_ma,T_global_mean_c,P_global_mean_mm_month,land_area_fraction,land_components,coastline_index,delta_from_prev_T_global_abs,delta_from_prev_T_field_meanabs,delta_from_prev_T_coherence_ratio,delta_from_prev_T_sign_agreement_frac,delta_from_prev_T_sign_edge_count,delta_from_prev_T_sign_components,delta_from_prev_T_morans_i,delta_from_prev_T_pc1_frac,delta_from_prev_T_effective_rank,delta_from_prev_T_participation_ratio,delta_from_prev_P_global_abs,delta_from_prev_landfrac_field_meanabs,delta_from_prev_coastline_abs,delta_from_prev_land_components_abs
540.0,26.416181360478603,108.38907134697119,0.18364629444857095,8,1754,,,,,,,,,,,,,,
530.0,26.297628599662524,109.24767407663204,0.17178244507701593,8,1552,0.11855276081607968,0.832422188681301,0.14241903018453594,0.5620339907262848,1716.0,88.0,0.9285480347799684,0.2031418067674547,16.73491531977461,10.285485917364138,0.8586027296608449,0.05334686873990027,202.0,0.0
520.0,25.959124394531628,110.36155269200397,0.15331385929691219,8,1616,0.33850420513089574,0.7271653344152743,0.46551202197103164,0.7122832167307455,1509.0,100.0,0.9165969977726511,0.2725045992098766,14.169479910815655,7.797617658030675,1.113878615371931,0.052761486290616916,64.0,0.0
510.0,25.866509887008558,109.70290897555259,0.16714770033893706,10,1566,0.09261450752306999,0.5888383352231402,0.15728342056393751,0.5279875690157964,1516.0,98.0,0.9145204946351628,0.21625572879218447,18.25672918499905,10.68420140107526,0.6586437164513796,0.05157543233621734,50.0,2.0
500.0,25.98294155934478,110.7786408998454,0.16981456795355535,17,1460,0.11643167233622265,0.9955814215236516,0.11694841809927911,0.6779869126956108,1314.0,88.0,0.9529885746221455,0.44523227661781184,10.582686385772663,4.4764656405352135,1.0757319242928105,0.043399997809487466,106.0,7.0
490.0,26.29390314698257,112.17736580961575,0.16795090975948807,20,1730,0.31096158763778803,0.7679407863428485,0.4049291210572044,0.6827692074605037,1732.0,93.0,0.9333901581154666,0.32216036654851815,16.378402310513856,7.567470215477858,1.3987249097703511,0.04834785544413561,270.0,3.0
480.0,26.66640060553598,113.83217876812006,0.16224495310002635,17,1660,0.3724974585534113,0.7535185826711281,0.4943440906698743,0.6440432570518765,1454.0,103.0,0.9502783611307654,0.43316113658631455,10.38730547469451,4.577792291696057,1.6548129585043085,0.053750104969831,70.0,3.0
470.0,26.50609117274093,113.14415742554198,0.1607114228978811,16,1594,0.1603094327950494,0.7086867978941289,0.2262063202975006,0.5878524454729487,1587.0,100.0,0.9287688104813457,0.21185114102808184,16.37236615976718,9.640257325448625,0.6880213425780823,0.05798599466062118,66.0,1.0
460.0,24.129712614033092,107.15616194244333,0.16555707113182205,21,1662,2.376378558707838,2.4783854133175818,0.9588414077723301,0.9831035645363132,675.0,40.0,0.9630362817021132,0.8218715438722121,2.611240986325463,1.4726529881794541,5.9879954830986435,0.056628983997682666,68.0,5.0
450.0,19.227904719481785,98.08282769562646,0.17078331193998103,27,1738,4.9018078945513075,4.955151533546244,0.9892347108592336,0.9892011649515043,421.0,18.0,0.9707270064293413,0.8783990363078822,1.8984209464414301,1.2904926848345104,9.07333424681687,0.0646775185609139,76.0,6.0
440.0,18.41851321871152,95.32646750688119,0.18243808695956326,24,1722,0.8093915007702641,1.1033525531480977,0.7335746842302575,0.8804066787218224,1521.0,103.0,0.9485756101774823,0.42010296991890456,9.68317190233021,4.65600032397036,2.756360188745276,0.06705802250859809,16.0,3.0
430.0,21.158893807162908,102.74610440896879,0.14217602848198901,22,1936,2.740380588451387,3.0236115151739256,0.9063269453429614,0.9498059191178719,1061.0,51.0,0.9784644116716463,0.6618018078077093,4.260146605879677,2.1929868958808543,7.419636902087603,0.11204492566896031,214.0,2.0
420.0,21.26777710618405,104.30792879194854,0.15284999604978233,20,1926,0.1088832990211408,1.0531420590475746,0.10338899494680813,0.6761427540678938,1760.0,83.0,0.9574870029390984,0.2958095655377932,12.779357869933373,7.320342591866933,1.5618243829797507,0.08304103523029499,10.0,2.0
